region,rows,columns,sum,expected_sum_rank,maximum,mean,median,minimum,q01,q05,q25,q75,q95,q99,standard_deviation
Northeast,362374,179,178.99999999991155,179,0.002049687600257872,0.0004939647987987867,0.0004897391912801763,0.0003133753718454973,0.00032579891420147974,0.0003392840169533912,0.0004600854665163463,0.000528948590726845,0.0006118559832319259,0.0007207122312060728,8.07652390403575e-05
Northern Rockies and Plains,89917,55,54.999999999993335,55,0.004485025873356612,0.0006116752115839422,0.0005793891785624938,0.00039074714961156,0.00041796349509949773,0.00044815294017014866,0.0005294890077521571,0.0006501343872889511,0.000823811081755469,0.0013180305057861705,0.00018258946889464816
Northwest,37820,42,42.0000000000279,42,0.008534264225726968,0.0011105235325232126,0.0010267756513223317,0.0005537738644313447,0.0006301273143848419,0.0007016132763039238,0.000936236332744769,0.0011730064567498089,0.0016810955223278985,0.0028667540995666726,0.0004012763182878531
Ohio Valley,314379,154,153.9999999999278,154,0.0018077987788554402,0.000489854602247376,0.00047948224428114,0.0003182027834905424,0.00033138307055379076,0.00036445020022663274,0.00046533186332767035,0.0005094673486309186,0.000579167799332875,0.0007504658791509962,7.138032748889596e-05
South,375493,149,148.9999999997368,149,0.002361043026469444,0.0003968116582725558,0.00038837934202684836,0.00030395896149657236,0.00031202947084744097,0.0003183188292699108,0.00033769178325641127,0.0004401178343770816,0.0004961290599049096,0.0005874429221889891,7.667334890070885e-05
Southeast,368839,157,156.99999999982327,157,0.0027653352189965807,0.0004256599763035451,0.0004530799603518296,0.00030503683949580383,0.00031299371362306506,0.0003203033613125055,0.0003475249262299951,0.00048206784484893515,0.0005361658332520447,0.0006382214483190454,9.294207310201583e-05
Southwest,323121,117,116.999999999941,117,0.0011581166222850198,0.00036209345724957833,0.0003521748013976097,0.0003133985713204039,0.0003216528858288619,0.0003277244354078107,0.0003391253198729963,0.0003739379932610575,0.00042596290970643843,0.00051463661904425,4.049553190924543e-05
Upper Midwest,127639,80,79.9999999999686,80,0.004043861316791873,0.0006267676807242974,0.0006092869826504406,0.0003617621966320096,0.00039139302537079284,0.0004273004890307035,0.0005732925193500777,0.0006534037283357093,0.0008272679580478515,0.0012433896232009376,0.00016675380908130676
West,396971,140,139.99999999966997,140,0.0014722461504064457,0.00035267059810331223,0.0003364062312436029,0.0003056386690006466,0.00031167292386547813,0.00031625107466942974,0.0003255946233118359,0.00036001848662814645,0.00042027905514536773,0.0006348695173244341,5.9321812925730214e-05
