specification_id,specification_label,family,definition,population_role,region,quantity,point_estimate,percentile_2_5,percentile_97_5,interval_relation_to_zero,successful_replicates,failure_count,units,site_count,early_rows,later_rows,fit_rows,standardization_rows,fit_population_sha256,standardization_population_sha256,component_relation,difference_from_primary,absolute_difference_from_primary,sign_agreement_with_primary,interval_relation_agreement_with_primary,component_relation_agreement_with_primary,review_flag_absolute_difference_ge_0_5_ppb,display_point,display_interval,point_source_path,point_source_record,interval_source_path,interval_source_record
s4a_event_clean,S4-A (definitive no-event provenance),event_2025_quality,Retain only event_status == retained; primary support and basis fixed,sensitivity_event_clean_retained_only,Northeast,D,41.242685550320324,40.83218537116108,41.68174777880804,entirely_above_zero,1000,0,ppb,157,180147,179791,359938,359938,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,reinforce,0.006765013607207493,0.006765013607207493,True,True,True,False,+41.24,"[40.83, 41.68]",outputs/analysis/sensitivity_event_2025_quality_real/s4a/point_estimates.json,record[region='Northeast'].D,outputs/bootstrap/sensitivity_event_2025_quality/s4a/interval_summary.json,"record[region='Northeast',quantity='D']"
s4a_event_clean,S4-A (definitive no-event provenance),event_2025_quality,Retain only event_status == retained; primary support and basis fixed,sensitivity_event_clean_retained_only,Northeast,temperature_distribution_component,-0.05800915501583859,-0.1311116486765064,0.02082230495323375,includes_zero,1000,0,ppb,157,180147,179791,359938,359938,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,reinforce,0.011211141601901176,0.011211141601901176,True,True,True,False,-0.06,"[-0.13, 0.02]",outputs/analysis/sensitivity_event_2025_quality_real/s4a/point_estimates.json,record[region='Northeast'].temperature_distribution_component,outputs/bootstrap/sensitivity_event_2025_quality/s4a/interval_summary.json,"record[region='Northeast',quantity='temperature_distribution_component']"
s4a_event_clean,S4-A (definitive no-event provenance),event_2025_quality,Retain only event_status == retained; primary support and basis fixed,sensitivity_event_clean_retained_only,Northeast,response_component,-0.10854198597723297,-0.3073060268070013,0.09295875808424502,includes_zero,1000,0,ppb,157,180147,179791,359938,359938,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,reinforce,-0.004240974241707107,0.004240974241707107,True,True,True,False,-0.11,"[-0.31, 0.09]",outputs/analysis/sensitivity_event_2025_quality_real/s4a/point_estimates.json,record[region='Northeast'].response_component,outputs/bootstrap/sensitivity_event_2025_quality/s4a/interval_summary.json,"record[region='Northeast',quantity='response_component']"
s4a_event_clean,S4-A (definitive no-event provenance),event_2025_quality,Retain only event_status == retained; primary support and basis fixed,sensitivity_event_clean_retained_only,Northeast,total_change,-0.16655114099307156,-0.35393880889266743,0.01653962385964982,includes_zero,1000,0,ppb,157,180147,179791,359938,359938,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,reinforce,0.006970167360194068,0.006970167360194068,True,True,True,False,-0.17,"[-0.35, 0.02]",outputs/analysis/sensitivity_event_2025_quality_real/s4a/point_estimates.json,record[region='Northeast'].total_change,outputs/bootstrap/sensitivity_event_2025_quality/s4a/interval_summary.json,"record[region='Northeast',quantity='total_change']"
s4a_event_clean,S4-A (definitive no-event provenance),event_2025_quality,Retain only event_status == retained; primary support and basis fixed,sensitivity_event_clean_retained_only,Northern Rockies and Plains,A,43.50725104480657,41.855892415783075,45.11715691654679,entirely_above_zero,1000,0,ppb,34,45144,44658,89802,89802,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,reinforce,-0.004262169945441485,0.004262169945441485,True,True,True,False,+43.51,"[41.86, 45.12]",outputs/analysis/sensitivity_event_2025_quality_real/s4a/point_estimates.json,record[region='Northern Rockies and Plains'].A,outputs/bootstrap/sensitivity_event_2025_quality/s4a/interval_summary.json,"record[region='Northern Rockies and Plains',quantity='A']"
s4a_event_clean,S4-A (definitive no-event provenance),event_2025_quality,Retain only event_status == retained; primary support and basis fixed,sensitivity_event_clean_retained_only,Northern Rockies and Plains,B,43.86609182457102,42.280387907869525,45.40623031657695,entirely_above_zero,1000,0,ppb,34,45144,44658,89802,89802,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,reinforce,-0.020813520903949723,0.020813520903949723,True,True,True,False,+43.87,"[42.28, 45.41]",outputs/analysis/sensitivity_event_2025_quality_real/s4a/point_estimates.json,record[region='Northern Rockies and Plains'].B,outputs/bootstrap/sensitivity_event_2025_quality/s4a/interval_summary.json,"record[region='Northern Rockies and Plains',quantity='B']"
s4a_event_clean,S4-A (definitive no-event provenance),event_2025_quality,Retain only event_status == retained; primary support and basis fixed,sensitivity_event_clean_retained_only,Northern Rockies and Plains,C,44.66644010574682,43.11779387950151,46.174096097543625,entirely_above_zero,1000,0,ppb,34,45144,44658,89802,89802,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,reinforce,-0.03497903467699359,0.03497903467699359,True,True,True,False,+44.67,"[43.12, 46.17]",outputs/analysis/sensitivity_event_2025_quality_real/s4a/point_estimates.json,record[region='Northern Rockies and Plains'].C,outputs/bootstrap/sensitivity_event_2025_quality/s4a/interval_summary.json,"record[region='Northern Rockies and Plains',quantity='C']"
s4a_event_clean,S4-A (definitive no-event provenance),event_2025_quality,Retain only event_status == retained; primary support and basis fixed,sensitivity_event_clean_retained_only,Northern Rockies and Plains,D,45.025326454143325,43.58660377314384,46.452909642409026,entirely_above_zero,1000,0,ppb,34,45144,44658,89802,89802,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,reinforce,-0.05432755243088394,0.05432755243088394,True,True,True,False,+45.03,"[43.59, 46.45]",outputs/analysis/sensitivity_event_2025_quality_real/s4a/point_estimates.json,record[region='Northern Rockies and Plains'].D,outputs/bootstrap/sensitivity_event_2025_quality/s4a/interval_summary.json,"record[region='Northern Rockies and Plains',quantity='D']"
s4a_event_clean,S4-A (definitive no-event provenance),event_2025_quality,Retain only event_status == retained; primary support and basis fixed,sensitivity_event_clean_retained_only,Northern Rockies and Plains,temperature_distribution_component,0.35886356408047604,0.2501111266574325,0.4844160070744225,entirely_above_zero,1000,0,ppb,34,45144,44658,89802,89802,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,reinforce,-0.017949934356199293,0.017949934356199293,True,True,True,False,+0.36,"[0.25, 0.48]",outputs/analysis/sensitivity_event_2025_quality_real/s4a/point_estimates.json,record[region='Northern Rockies and Plains'].temperature_distribution_component,outputs/bootstrap/sensitivity_event_2025_quality/s4a/interval_summary.json,"record[region='Northern Rockies and Plains',quantity='temperature_distribution_component']"
s4a_event_clean,S4-A (definitive no-event provenance),event_2025_quality,Retain only event_status == retained; primary support and basis fixed,sensitivity_event_clean_retained_only,Northern Rockies and Plains,response_component,1.1592118452562765,0.625437189129159,1.7642079999458005,entirely_above_zero,1000,0,ppb,34,45144,44658,89802,89802,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,889d07b29eb39a10a9393877c922dce8f9f45f7d9e6d3cfb1cff5acfc080f1a0,reinforce,-0.03211544812924316,0.03211544812924316,True,True,True,False,+1.16,"[0.63, 1.76]",outputs/analysis/sensitivity_event_2025_quality_real/s4a/point_estimates.json,record[region='Northern Rockies and Plains'].response_component,outputs/bootstrap/sensitivity_event_2025_quality/s4a/interval_summary.json,"record[region='Northern Rockies and Plains',quantity='response_component']"
