specification_id,specification_label,family,definition,population_role,region,quantity,point_estimate,percentile_2_5,percentile_97_5,interval_relation_to_zero,successful_replicates,failure_count,units,site_count,early_rows,later_rows,fit_rows,standardization_rows,fit_population_sha256,standardization_population_sha256,component_relation,difference_from_primary,absolute_difference_from_primary,sign_agreement_with_primary,interval_relation_agreement_with_primary,component_relation_agreement_with_primary,review_flag_absolute_difference_ge_0_5_ppb,display_point,display_interval,point_source_path,point_source_record,interval_source_path,interval_source_record
primary,Primary (2020 excluded),primary,2015-2019 versus 2021-2025; 2020 excluded; four-column TMAX spline,primary_continuous_full_balanced,Northeast,D,41.23592053671312,40.780038311670076,41.6713207053453,entirely_above_zero,1000,0,ppb,158,181450,180924,362374,362374,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,reinforce,0.0,0.0,True,True,True,False,+41.24,"[40.78, 41.67]",outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='Northeast'].D,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='Northeast',quantity='D']"
primary,Primary (2020 excluded),primary,2015-2019 versus 2021-2025; 2020 excluded; four-column TMAX spline,primary_continuous_full_balanced,Northeast,temperature_distribution_component,-0.06922029661773976,-0.14319441017630172,0.01007182592137585,includes_zero,1000,0,ppb,158,181450,180924,362374,362374,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,reinforce,0.0,0.0,True,True,True,False,-0.07,"[-0.14, 0.01]",outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='Northeast'].temperature_distribution_component,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='Northeast',quantity='temperature_distribution_component']"
primary,Primary (2020 excluded),primary,2015-2019 versus 2021-2025; 2020 excluded; four-column TMAX spline,primary_continuous_full_balanced,Northeast,response_component,-0.10430101173552586,-0.29289995609737574,0.08436137468956932,includes_zero,1000,0,ppb,158,181450,180924,362374,362374,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,reinforce,0.0,0.0,True,True,True,False,-0.10,"[-0.29, 0.08]",outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='Northeast'].response_component,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='Northeast',quantity='response_component']"
primary,Primary (2020 excluded),primary,2015-2019 versus 2021-2025; 2020 excluded; four-column TMAX spline,primary_continuous_full_balanced,Northeast,total_change,-0.17352130835326562,-0.36001005385843887,0.015532322006219852,includes_zero,1000,0,ppb,158,181450,180924,362374,362374,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,reinforce,0.0,0.0,True,True,True,False,-0.17,"[-0.36, 0.02]",outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='Northeast'].total_change,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='Northeast',quantity='total_change']"
primary,Primary (2020 excluded),primary,2015-2019 versus 2021-2025; 2020 excluded; four-column TMAX spline,primary_continuous_full_balanced,Northern Rockies and Plains,A,43.511513214752014,41.950155155983985,45.10576483920632,entirely_above_zero,1000,0,ppb,34,45163,44754,89917,89917,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,reinforce,0.0,0.0,True,True,True,False,+43.51,"[41.95, 45.11]",outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='Northern Rockies and Plains'].A,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='Northern Rockies and Plains',quantity='A']"
primary,Primary (2020 excluded),primary,2015-2019 versus 2021-2025; 2020 excluded; four-column TMAX spline,primary_continuous_full_balanced,Northern Rockies and Plains,B,43.88690534547497,42.37746351757331,45.41990491893767,entirely_above_zero,1000,0,ppb,34,45163,44754,89917,89917,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,reinforce,0.0,0.0,True,True,True,False,+43.89,"[42.38, 45.42]",outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='Northern Rockies and Plains'].B,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='Northern Rockies and Plains',quantity='B']"
primary,Primary (2020 excluded),primary,2015-2019 versus 2021-2025; 2020 excluded; four-column TMAX spline,primary_continuous_full_balanced,Northern Rockies and Plains,C,44.701419140423816,43.255047951353475,46.210302387190254,entirely_above_zero,1000,0,ppb,34,45163,44754,89917,89917,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,reinforce,0.0,0.0,True,True,True,False,+44.70,"[43.26, 46.21]",outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='Northern Rockies and Plains'].C,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='Northern Rockies and Plains',quantity='C']"
primary,Primary (2020 excluded),primary,2015-2019 versus 2021-2025; 2020 excluded; four-column TMAX spline,primary_continuous_full_balanced,Northern Rockies and Plains,D,45.07965400657421,43.69388870136984,46.50478352619297,entirely_above_zero,1000,0,ppb,34,45163,44754,89917,89917,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,reinforce,0.0,0.0,True,True,True,False,+45.08,"[43.69, 46.50]",outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='Northern Rockies and Plains'].D,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='Northern Rockies and Plains',quantity='D']"
primary,Primary (2020 excluded),primary,2015-2019 versus 2021-2025; 2020 excluded; four-column TMAX spline,primary_continuous_full_balanced,Northern Rockies and Plains,temperature_distribution_component,0.37681349843667533,0.27378132193763316,0.4842005315315191,entirely_above_zero,1000,0,ppb,34,45163,44754,89917,89917,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,reinforce,0.0,0.0,True,True,True,False,+0.38,"[0.27, 0.48]",outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='Northern Rockies and Plains'].temperature_distribution_component,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='Northern Rockies and Plains',quantity='temperature_distribution_component']"
primary,Primary (2020 excluded),primary,2015-2019 versus 2021-2025; 2020 excluded; four-column TMAX spline,primary_continuous_full_balanced,Northern Rockies and Plains,response_component,1.1913272933855197,0.6327560337664486,1.779691104427733,entirely_above_zero,1000,0,ppb,34,45163,44754,89917,89917,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,1c7dcacabf6e07f72cfd03c2a927dfe46c0d85c3f214948d3116fe454807b7e5,reinforce,0.0,0.0,True,True,True,False,+1.19,"[0.63, 1.78]",outputs/analysis/primary_continuous/decomposition_point_estimates.json,record[region='Northern Rockies and Plains'].response_component,outputs/bootstrap/primary_continuous/interval_summary.json,"record[region='Northern Rockies and Plains',quantity='response_component']"
